Produto;Categoria;Marca;Preço de venda
100 - TRIDENTE BODE BBQ C/ BAINHA;ACESSORIOS;CANTAGALLO; R$103,87 
102 - OREGANO;MOLHOS E TEMPEROS;CANTAGALLO; R$10,00 
103 - PALETA DE CORDEIRO (1.2-1.4 R) (1 CAIXA);CORDEIRO;VPJ; R$58,50 
104 - PANCETA EXPRESS (DUROC PORK) (1 CAIXA);SUINO/CORTES ESPECIAIS;DUROK; R$28,99 
105 - PAO DE ALHO BAGUETE TRAD 12X300G;PAO DE ALHO;ZINHO; R$11,00 
106 - PAO DE ALHO TRAD SANTA MASSA-BDJ;PAO DE ALHO;SANTA MASSA; R$11,00 
107 - PAPRICA DEFUMADA;MOLHOS E TEMPEROS;CANTAGALLO; R$19,30 
108 - PICANHA  AUS CONG FEED KILCOY;BOVINO;FEED LOT KILCOY; R$55,90 
109 - PICANHA (A) IMPORT ANA PAULA PULL CONG;BOVINO;ANA PAULA; R$76,99 
11 - TABUA DE CORTE BRASA EXPRESS - 25CM X 40CM X 2,5CM ESPESSURA;ACESSORIOS;ARTE RUSTICA; R$65,00 
110 - PICANHA (DUROC PORK) - VPJ;SUINO;VPJ; R$52,54 
111 - PICANHA A 1,7KG UP BOV CONG CAPE GRIM;BOVINO;CAPE GRIM; R$76,00 
112 - PICANHA A BEEF CLUB RESF.;BOVINO;BEEF CLUB; R$45,00 
113 - COUNTRY RIB (JANELA R) - VPJ;BOVINO;VPJ; R$34,25 
114 - PICANHA A S/ESP. GRILL RESFR. MINERVA;BOVINO;MINERVA; R$55,25 
115 - PICANHA A SUPER CONG URUGUAI  FRIGOGY;BOVINO;FRIGOGY; R$59,92 
116 - PICANHA ANGUS USA MAT CONG FEEDLOT CHOICE HIGHIER;BOVINO;FEEDLOT CHOICE HIGHIER; R$64,85 
117 - PICANHA ARGENTINA CONG. ARREBEEF;BOVINO;ARREBEFF; R$59,00 
118 - LUVA BLACK BBQ M;ACESSORIOS;CANTAGALLO; R$30,00 
119 - PICANHA BOV RESF;BOVINO;FRIBOI; R$47,51 
12 - BARBECUE - CAFE- 240ml;MOLHOS E TEMPEROS;CHEF'SBOSS; R$0,01 
120 - PICANHA BOV RESF FRIBOI 1953;BOVINO;JBS 1953; R$97,86 
121 - PICANHA BOV RESF MATURATTA;BOVINO;FRIBOI; R$55,94 
122 - PICANHA CONG CREEKSTONE BLACK ANGUS;BOVINO;CREEKSTONE; R$78,91 
123 - PICANHA CONG FRIGOMERC;BOVINO;FRIGOMERC; R$42,00 
124 - PICANHA CONG. IBP EXCELLENCE;BOVINO;IBP; R$64,00 
125 - PICANHA CONG. PUL;BOVINO;PULL URUGUAIA; R$48,50 
126 - PICANHA GRILL CONG. LA ANONIMA;BOVINO;LA ANONIMA; R$65,90 
127 - PICANHA GRILL CONG. PANDO;BOVINO;PANDO; R$59,90 
128 - PICANHA NOBRE RESFR. MINERVA;BOVINO;MINERVA; R$35,00 
